                  Defense                Attack  Epsilon  Accuracy    Recall  Precision  F1 Score
0                    None  generate_fgsm_attack      0.1  0.981310  0.981310   0.981824  0.981538
1             defense_gan  generate_fgsm_attack      0.1  0.558113  0.558113   0.502215  0.510360
2    input_reconstruction  generate_fgsm_attack      0.1  0.455595  0.455595   0.742651  0.425991
3    adversarial_training  generate_fgsm_attack      0.1  0.985742  0.985742   0.985285  0.985049
4      model_robustifying  generate_fgsm_attack      0.1  0.991617  0.991617   0.991466  0.991423
5                    None  generate_fgsm_attack      0.5  0.297248  0.297248   0.202479  0.192292
6             defense_gan  generate_fgsm_attack      0.5  0.497681  0.497681   0.503280  0.497949
7    input_reconstruction  generate_fgsm_attack      0.5  0.344007  0.344007   0.702449  0.253484
8    adversarial_training  generate_fgsm_attack      0.5  0.425636  0.425636   0.636722  0.386826
9      model_robustifying  generate_fgsm_attack      0.5  0.487752  0.487752   0.680200  0.425099
10                   None  generate_fgsm_attack      1.0  0.013261  0.013261   0.012012  0.012153
11            defense_gan  generate_fgsm_attack      1.0  0.401862  0.401862   0.506488  0.317235
12   input_reconstruction  generate_fgsm_attack      1.0  0.024702  0.024702   0.009074  0.011408
13   adversarial_training  generate_fgsm_attack      1.0  0.364998  0.364998   0.319284  0.338847
14     model_robustifying  generate_fgsm_attack      1.0  0.397911  0.397911   0.520979  0.348961
15                   None  generate_fgsm_attack      1.5  0.012059  0.012059   0.009893  0.010058
16            defense_gan  generate_fgsm_attack      1.5  0.400625  0.400625   0.504793  0.349592
17   input_reconstruction  generate_fgsm_attack      1.5  0.014911  0.014911   0.037414  0.005840
18   adversarial_training  generate_fgsm_attack      1.5  0.184560  0.184560   0.208096  0.186606
19     model_robustifying  generate_fgsm_attack      1.5  0.459202  0.459202   0.403021  0.417793
20                   None  generate_fgsm_attack      2.0  0.007902  0.007902   0.007299  0.006959
21            defense_gan  generate_fgsm_attack      2.0  0.463291  0.463291   0.505462  0.458727
22   input_reconstruction  generate_fgsm_attack      2.0  0.018484  0.018484   0.005029  0.006545
23   adversarial_training  generate_fgsm_attack      2.0  0.562854  0.562854   0.560439  0.533210
24     model_robustifying  generate_fgsm_attack      2.0  0.678634  0.678634   0.743337  0.689217
25                   None  generate_fgsm_attack      2.5  0.008005  0.008005   0.006307  0.006750
26            defense_gan  generate_fgsm_attack      2.5  0.603463  0.603463   0.439092  0.454366
27   input_reconstruction  generate_fgsm_attack      2.5  0.014704  0.014704   0.004347  0.005624
28   adversarial_training  generate_fgsm_attack      2.5  0.432473  0.432473   0.639807  0.408730
29     model_robustifying  generate_fgsm_attack      2.5  0.623218  0.623218   0.763044  0.651609
30                   None   generate_bim_attack      0.1  0.980280  0.980280   0.980385  0.980311
31            defense_gan   generate_bim_attack      0.1  0.603635  0.603635   0.588795  0.454581
32   input_reconstruction   generate_bim_attack      0.1  0.539630  0.539630   0.766371  0.557814
33   adversarial_training   generate_bim_attack      0.1  0.989590  0.989590   0.989004  0.988996
34     model_robustifying   generate_bim_attack      0.1  0.988559  0.988559   0.988275  0.988299
35                   None   generate_bim_attack      0.5  0.674649  0.674649   0.786852  0.668807
36            defense_gan   generate_bim_attack      0.5  0.563679  0.563679   0.508255  0.458628
37   input_reconstruction   generate_bim_attack      0.5  0.360807  0.360807   0.698021  0.286829
38   adversarial_training   generate_bim_attack      0.5  0.949497  0.949497   0.957294  0.952319
39     model_robustifying   generate_bim_attack      0.5  0.953894  0.953894   0.958550  0.955250
40                   None   generate_bim_attack      1.0  0.692376  0.692376   0.793802  0.688185
41            defense_gan   generate_bim_attack      1.0  0.412135  0.412135   0.498706  0.354799
42   input_reconstruction   generate_bim_attack      1.0  0.347683  0.347683   0.704680  0.255438
43   adversarial_training   generate_bim_attack      1.0  0.927234  0.927234   0.934670  0.928659
44     model_robustifying   generate_bim_attack      1.0  0.432302  0.432302   0.730415  0.374867
45                   None   generate_bim_attack      1.5  0.723228  0.723228   0.810855  0.723746
46            defense_gan   generate_bim_attack      1.5  0.375889  0.375889   0.486401  0.214950
47   input_reconstruction   generate_bim_attack      1.5  0.414093  0.414093   0.754391  0.371819
48   adversarial_training   generate_bim_attack      1.5  0.931941  0.931941   0.938789  0.933933
49     model_robustifying   generate_bim_attack      1.5  0.461023  0.461023   0.697848  0.378398
50                   None   generate_bim_attack      2.0  0.720995  0.720995   0.806918  0.719557
51            defense_gan   generate_bim_attack      2.0  0.511114  0.511114   0.499732  0.499885
52   input_reconstruction   generate_bim_attack      2.0  0.348885  0.348885   0.736842  0.257821
53   adversarial_training   generate_bim_attack      2.0  0.603669  0.603669   0.767204  0.580500
54     model_robustifying   generate_bim_attack      2.0  0.364895  0.364895   0.407146  0.359480
55                   None   generate_bim_attack      2.5  0.729343  0.729343   0.810918  0.728273
56            defense_gan   generate_bim_attack      2.5  0.573883  0.573883   0.507509  0.505735
57   input_reconstruction   generate_bim_attack      2.5  0.323187  0.323187   0.708404  0.205389
58   adversarial_training   generate_bim_attack      2.5  0.952417  0.952417   0.965313  0.957209
59     model_robustifying   generate_bim_attack      2.5  0.380768  0.380768   0.522986  0.434703
60                   None   generate_pgd_attack      0.1  0.979180  0.979180   0.979667  0.979389
61            defense_gan   generate_pgd_attack      0.1  0.516199  0.516199   0.499253  0.507327
62   input_reconstruction   generate_pgd_attack      0.1  0.702511  0.702511   0.847580  0.741264
63   adversarial_training   generate_pgd_attack      0.1  0.986636  0.986636   0.986164  0.986081
64     model_robustifying   generate_pgd_attack      0.1  0.987804  0.987804   0.988017  0.987365
65                   None   generate_pgd_attack      0.5  0.323874  0.323874   0.410199  0.235334
66            defense_gan   generate_pgd_attack      0.5  0.589789  0.589789   0.509227  0.487296
67   input_reconstruction   generate_pgd_attack      0.5  0.248909  0.248909   0.670532  0.164494
68   adversarial_training   generate_pgd_attack      0.5  0.387914  0.387914   0.427882  0.265155
69     model_robustifying   generate_pgd_attack      0.5  0.851032  0.851032   0.948063  0.892125
70                   None   generate_pgd_attack      1.0  0.317862  0.317862   0.358119  0.230737
71            defense_gan   generate_pgd_attack      1.0  0.523173  0.523173   0.497041  0.507913
72   input_reconstruction   generate_pgd_attack      1.0  0.274436  0.274436   0.699166  0.186018
73   adversarial_training   generate_pgd_attack      1.0  0.345965  0.345965   0.315077  0.211029
74     model_robustifying   generate_pgd_attack      1.0  0.362387  0.362387   0.674359  0.279250
75                   None   generate_pgd_attack      1.5  0.332600  0.332600   0.434946  0.233495
76            defense_gan   generate_pgd_attack      1.5  0.441681  0.441681   0.501554  0.437738
77   input_reconstruction   generate_pgd_attack      1.5  0.187137  0.187137   0.562412  0.134155
78   adversarial_training   generate_pgd_attack      1.5  0.342083  0.342083   0.315454  0.252014
79     model_robustifying   generate_pgd_attack      1.5  0.324870  0.324870   0.430163  0.354344
80                   None   generate_pgd_attack      2.0  0.360463  0.360463   0.465521  0.253480
81            defense_gan   generate_pgd_attack      2.0  0.575738  0.575738   0.509506  0.507025
82   input_reconstruction   generate_pgd_attack      2.0  0.322740  0.322740   0.739573  0.201010
83   adversarial_training   generate_pgd_attack      2.0  0.229395  0.229395   0.242913  0.197781
84     model_robustifying   generate_pgd_attack      2.0  0.140516  0.140516   0.162209  0.144400
85                   None   generate_pgd_attack      2.5  0.324149  0.324149   0.390414  0.221631
86            defense_gan   generate_pgd_attack      2.5  0.540076  0.540076   0.504141  0.516161
87   input_reconstruction   generate_pgd_attack      2.5  0.322672  0.322672   0.552599  0.192106
88   adversarial_training   generate_pgd_attack      2.5  0.369258  0.369258   0.362853  0.256338
89     model_robustifying   generate_pgd_attack      2.5  0.668224  0.668224   0.760538  0.690476
90                   None   generate_mim_attack      0.1  0.978837  0.978837   0.978802  0.978798
91            defense_gan   generate_mim_attack      0.1  0.569897  0.569897   0.502684  0.503975
92   input_reconstruction   generate_mim_attack      0.1  0.696087  0.696087   0.860395  0.743987
93   adversarial_training   generate_mim_attack      0.1  0.986258  0.986258   0.986632  0.986398
94     model_robustifying   generate_mim_attack      0.1  0.990518  0.990518   0.990149  0.989785
95                   None   generate_mim_attack      0.5  0.130037  0.130037   0.220492  0.106765
